time,beta,temp
640,0.574625328,21.3
641,0.573198732,18.89
642,0.571796067,19.23
643,0.570423428,20.99
644,0.569087295,23.11
645,0.567794293,24.77
646,0.566551536,18.66
647,0.565366339,17.14
648,0.564246189,18.74
649,0.563199291,21.17
650,0.562233441,22.79
651,0.561357282,25.29
652,0.560579358,27.93
653,0.559908425,25.93
654,0.559353393,23.56
655,0.558923554,23.21
656,0.558628192,26.71
657,0.558476619,27.66
658,0.558478231,24.71
659,0.558642715,23.6
660,0.558979567,21.32
661,0.559498498,20.87
662,0.560209004,22.25
663,0.561120825,24.58
664,0.562243477,26.11
665,0.563586552,25.09
666,0.565159239,25.47
667,0.566971008,26.64
668,0.56903084,24.27
669,0.57134752,23.14
670,0.573929749,24.02
671,0.576785613,23.96
672,0.579922754,26.22
673,0.583348364,23.69
674,0.587069243,21.87
675,0.591091029,21.98
676,0.595418975,22.44
677,0.600057028,24.05
678,0.60500849,23.6
679,0.610275459,23.24
680,0.615858909,23.3
681,0.621758875,21.94
682,0.627974164,22.07
683,0.63450275,22.96
684,0.6413415,24.97
685,0.648487158,24.9
686,0.655935213,25.16
687,0.663681962,23.77
688,0.671723381,21.49
689,0.680056319,17.43
690,0.688678466,17.86
691,0.697589174,20.74
692,0.706789494,22.32
693,0.716282412,19.35
694,0.726073384,16.91
695,0.736170582,17.06
696,0.74658408,18.03
697,0.757326663,19.46
698,0.768412806,19.8
699,0.779858351,20.32
700,0.791680254,20.71
701,0.803894728,23.1
702,0.816517226,25.34
703,0.829561397,25.4
704,0.843037672,26.06
705,0.856952831,26.27
706,0.871309929,26.78
707,0.886107497,27.65
708,0.90134044,26
709,0.917000145,23.58
710,0.933075786,21.11
711,0.949554838,21.12
712,0.966424994,16.84
713,0.983674616,13.99
714,1.001293749,15.23
715,1.019274428,20.14
716,1.037611894,23.23
717,1.056304626,23.76
718,1.075354129,25.19
719,1.09476494,20.5
720,1.114544883,15.29
721,1.13470412,15.68
722,1.15525414,17.82
723,1.176206067,20.57
724,1.197566941,21.51
725,1.219337285,21.19
726,1.241503179,20.8
727,1.264030561,19.68
728,1.286856875,19.95
729,1.309882596,21.06
730,1.332966313,18.01
731,1.355922282,13.16
732,1.378523499,11.98
733,1.400512502,11.3
734,1.421617031,11.12
