Day,Beta
1026,0.891499899
1027,0.894368969
1028,0.897310711
1029,0.90032161
1030,0.903397061
1031,0.906531751
1032,0.909718923
1033,0.912950762
1034,0.916218668
1035,0.9195133
1036,0.922824115
1037,0.926139653
1038,0.929447956
1039,0.932735883
1040,0.935989298
1041,0.939193495
1042,0.942332096
1043,0.945388429
1044,0.948344879
1045,0.951183192
1046,0.953884535
1047,0.956430264
1048,0.958802134
1049,0.960982881
1050,0.962956667
1051,0.964710213
1052,0.966232494
1053,0.967516281
1054,0.968557902
1055,0.969357915
1056,0.969920658
1057,0.970254429
1058,0.970370926
1059,0.970284596
1060,0.970011607
1061,0.969568886
1062,0.968973696
1063,0.968241684
1064,0.967387222
1065,0.966422029
1066,0.965355113
1067,0.964192383
1068,0.962937169
1069,0.961590178
1070,0.960149959
1071,0.958613984
1072,0.956978656
1073,0.955240317
1074,0.953396343
1075,0.951445147
1076,0.949386939
1077,0.947224356
1078,0.94496274
1079,0.942610249
1080,0.940178156
1081,0.937680274
1082,0.935133241
1083,0.932555728
1084,0.929968208
1085,0.927392639
1086,0.924851291
1087,0.922366828
1088,0.919961371
1089,0.917656735
1090,0.915473543
1091,0.913431332
1092,0.911548704
1093,0.909843318
1094,0.908331797
1095,0.907030307
1096,0.905954711
1097,0.905119859
1098,0.90454106
1099,0.904233061
1100,0.904210702
1101,0.904487975
1102,0.905078731
1103,0.905996248
1104,0.90725223
1105,0.908857293
1106,0.910820678
1107,0.913149603
1108,0.915849179
1109,0.918922067
1110,0.922368236
1111,0.926185049
1112,0.930366889
1113,0.934905455
1114,0.939789206
1115,0.945004717
1116,0.950534835
1117,0.956361085
1118,0.96246244
1119,0.968816459
1120,0.975399576
1121,0.98218701
1122,0.989154056
1123,0.996276073
1124,1.003528669
1125,1.010888383
1126,1.018333316
1127,1.025843062
1128,1.033398829
1129,1.040984236
1130,1.048584931
1131,1.056188919
1132,1.063787006
1133,1.071371563
1134,1.078938089
1135,1.086484075
1136,1.094009027
1137,1.101514339
1138,1.109002851
1139,1.116479523
1140,1.123949625
1141,1.131419383
1142,1.138895489
1143,1.146385185
1144,1.153894633
1145,1.161429897
1146,1.168996632
1147,1.17659913
1148,1.184240475
1149,1.191922888
1150,1.199646875
1151,1.207411692
1152,1.215215072
1153,1.223053381
1154,1.230922401
1155,1.238815784
1156,1.246727124
1157,1.254648462
1158,1.262571514
1159,1.270486653
1160,1.278384671
1161,1.286255956
1162,1.294089541
1163,1.301875442
1164,1.309602812
1165,1.317260399
1166,1.324836954
1167,1.33232066
1168,1.339699522
1169,1.346961081
1170,1.354091972
1171,1.361078247
1172,1.367905021
1173,1.374556929
1174,1.381017178
1175,1.387268722
1176,1.393292859
1177,1.399070665
1178,1.404582411
1179,1.409807637
1180,1.414726198
1181,1.419318289
1182,1.423564196
1183,1.427445695
1184,1.430946007
1185,1.434050232
1186,1.436746135
1187,1.439023659
1188,1.440875903
1189,1.442299396
1190,1.443291783
1191,1.443854183
1192,1.443989575
1193,1.443701565
1194,1.442995355
1195,1.441874981
1196,1.440344945
1197,1.438408807
1198,1.436069176
1199,1.43332766
1200,1.43018575
1201,1.426643029
1202,1.422699824
1203,1.418356508
1204,1.413614497
1205,1.408475861
1206,1.402944848
1207,1.397026971
1208,1.390730277
1209,1.384066164
1210,1.377047211
1211,1.369689465
1212,1.362011164
1213,1.354033306
1214,1.345778957
1215,1.337273136
1216,1.328542545
1217,1.319615275
1218,1.31052047
1219,1.301286802
1220,1.29194428
1221,1.282522112
1222,1.273049206
1223,1.263553932
1224,1.25406307
1225,1.244602785
1226,1.23519744
1227,1.22587055
1228,1.216643512
1229,1.207536027
1230,1.198566496
1231,1.189751431
1232,1.181105554
1233,1.172641382
1234,1.16437006
1235,1.156300053
1236,1.148438498
1237,1.140789941
1238,1.133356899
1239,1.126139954
1240,1.119137451
1241,1.112345278
1242,1.105757862
1243,1.099367246
1244,1.093163908
1245,1.087136552
1246,1.081272334
1247,1.075557739
1248,1.069977984
1249,1.064517945
1250,1.059161961
1251,1.053894818
1252,1.048701495
1253,1.043567821
1254,1.03848055
1255,1.033427872
1256,1.028399065
1257,1.02338542
1258,1.018379733
1259,1.013376638
1260,1.008372284
1261,1.003364474
1262,0.998353019
1263,0.993338235
1264,0.988322191
1265,0.983308084
1266,0.978299074
1267,0.973299392
1268,0.968313433
1269,0.963345952
1270,0.958401226
1271,0.953483954
1272,0.948597752
1273,0.943746276
1274,0.938933469
1275,0.934161156
1276,0.929432362
1277,0.924748771
1278,0.920111775
1279,0.915522896
1280,0.910982482
1281,0.906491406
