Day,beta
1309,0.76749314
1310,0.765723554
1311,0.764068419
1312,0.76252771
1313,0.761101148
1314,0.759788172
1315,0.758587593
1316,0.757498085
1317,0.756517762
1318,0.75564424
1319,0.754875064
1320,0.75420708
1321,0.753636994
1322,0.75316097
1323,0.752775187
1324,0.752475137
1325,0.752256366
1326,0.752114003
1327,0.752043074
1328,0.752038473
1329,0.752094578
1330,0.75220606
1331,0.752367193
1332,0.752572341
1333,0.752815653
1334,0.753091368
1335,0.753393672
1336,0.753716978
1337,0.754055543
1338,0.754403813
1339,0.754756548
1340,0.755108492
1341,0.755454817
1342,0.75579077
1343,0.756111893
1344,0.7564143
1345,0.756694073
1346,0.756947935
1347,0.757172818
1348,0.757366208
1349,0.757525737
1350,0.757649779
1351,0.757736889
1352,0.757786122
1353,0.757797057
1354,0.757769503
1355,0.757703922
1356,0.757601023
1357,0.757462187
1358,0.757288824
1359,0.757082977
1360,0.756846959
1361,0.756583403
1362,0.756295329
1363,0.755985807
1364,0.755658285
1365,0.755316507
1366,0.754964113
1367,0.754605006
1368,0.754243217
1369,0.753882787
1370,0.753527891
1371,0.753182552
1372,0.752851064
1373,0.752537668
1374,0.752246667
1375,0.751982375
1376,0.751749071
1377,0.751551303
1378,0.751393389
1379,0.751279858
1380,0.751215084
1381,0.751203618
1382,0.751249871
1383,0.751358048
1384,0.751532609
1385,0.751777394
1386,0.75209649
1387,0.752493338
1388,0.752971465
1389,0.753533992
1390,0.754183661
1391,0.754922851
1392,0.755753783
1393,0.756678142
1394,0.757697263
1395,0.758812498
1396,0.760024629
1397,0.761334354
1398,0.762742091
1399,0.764248496
1400,0.765853801
1401,0.76755852
1402,0.769363132
1403,0.771268335
1404,0.773274622
1405,0.775382941
1406,0.777594019
1407,0.779908749
1408,0.782327934
1409,0.784852261
1410,0.787482153
1411,0.790217681
1412,0.793058699
1413,0.796004566
1414,0.799054108
1415,0.802205834
1416,0.805457706
1417,0.808807178
1418,0.812251422
1419,0.815787429
1420,0.819411858
1421,0.823121412
1422,0.82691282
1423,0.830782982
1424,0.834729097
1425,0.838748758
1426,0.842839908
1427,0.847000908
1428,0.851230849
1429,0.855529341
1430,0.859896313
1431,0.864332508
1432,0.868838998
1433,0.873417377
1434,0.878069558
1435,0.882797984
1436,0.887605066
1437,0.892493535
1438,0.897466367
