Day,Beta_EnsMean
953,0.727705836
954,0.727778785
955,0.727893598
956,0.728039965
957,0.728206396
958,0.728382312
959,0.728556469
960,0.72871808
961,0.728856213
962,0.728960298
963,0.729020342
964,0.72902672
965,0.728970259
966,0.728842318
967,0.72863552
968,0.728342965
969,0.727959111
970,0.727478825
971,0.726898976
972,0.726217195
973,0.725432724
974,0.724546179
975,0.723559268
976,0.722475737
977,0.721300222
978,0.720038943
979,0.718698964
980,0.717288978
981,0.71581807
982,0.714296326
983,0.712734349
984,0.711142831
985,0.709532954
986,0.707915671
987,0.706301719
988,0.704701461
989,0.703125067
990,0.701581836
991,0.700080737
992,0.698630281
993,0.697237946
994,0.695911027
995,0.694656275
996,0.693479635
997,0.692386866
998,0.691383183
999,0.690473594
1000,0.68966274
1001,0.688954927
1002,0.68835441
1003,0.687865026
1004,0.687490776
1005,0.68723511
1006,0.687101617
1007,0.687093601
1008,0.687214062
1009,0.687466033
1010,0.687852062
1011,0.688374363
1012,0.689034931
1013,0.689835213
1014,0.690776095
1015,0.691857964
1016,0.693080433
1017,0.694442615
1018,0.695942283
1019,0.697576962
1020,0.699343115
1021,0.701235779
1022,0.703249484
1023,0.705377676
1024,0.707612887
1025,0.709946729
1026,0.712370038
1027,0.714872748
1028,0.717444666
1029,0.720074937
1030,0.722752661
1031,0.725466922
1032,0.728207357
1033,0.730964258
1034,0.73372864
1035,0.73649288
1036,0.739250831
1037,0.74199827
1038,0.74473308
1039,0.747455247
1040,0.75016772
1041,0.752875611
1042,0.755587004
1043,0.758312494
1044,0.761065423
1045,0.763861425
1046,0.766718127
1047,0.769655094
1048,0.772693038
1049,0.77585344
1050,0.779158168
1051,0.782628231
1052,0.786284
1053,0.790143952
1054,0.794224665
1055,0.798540182
1056,0.803101897
1057,0.807918482
1058,0.812995903
1059,0.818338029
1060,0.823946364
1061,0.829821758
1062,0.835963473
1063,0.842370279
1064,0.849040978
1065,0.855974153
1066,0.863168806
1067,0.870623194
1068,0.878336042
1069,0.886305511
1070,0.894529589
1071,0.903005451
1072,0.911730304
1073,0.92070052
1074,0.929912418
1075,0.939362377
1076,0.949046411
1077,0.958961695
1078,0.969105326
1079,0.979475506
1080,0.990070969
1081,1.000891514
1082,1.011937976
1083,1.023211554
1084,1.034714542
1085,1.046449281
1086,1.05841881
1087,1.070626259
1088,1.083074577
1089,1.095767066
1090,1.108706877
1091,1.121897444
1092,1.135342643
1093,1.149047188
1094,1.163016394
1095,1.177257419
1096,1.191778049
1097,1.206586555
1098,1.221691653
1099,1.237100139
1100,1.25281547
1101,1.268835008
1102,1.285147294
1103,1.301729023
1104,1.318542451
1105,1.335533977
1106,1.352634534
1107,1.369759753
1108,1.386814982
1109,1.403700158
1110,1.420315027
1111,1.43656826
1112,1.452380568
1113,1.467691377
1114,1.482461244
1115,1.496671915
1116,1.510325849
1117,1.523443937
1118,1.536060065
1119,1.548218906
1120,1.559969664
1121,1.571362898
1122,1.582447454
1123,1.593266845
1124,1.603856906
1125,1.614245564
1126,1.624450952
1127,1.63448225
1128,1.644338816
1129,1.654011905
1130,1.663484231
1131,1.672732785
1132,1.68172887
1133,1.690439656
1134,1.698829487
1135,1.706861317
1136,1.714498073
1137,1.721703425
1138,1.728443414
1139,1.734686568
1140,1.740405425
1141,1.74557671
1142,1.750182375
1143,1.754208505
1144,1.75764747
1145,1.760496259
1146,1.762757093
1147,1.764437288
1148,1.765548572
1149,1.766106978
1150,1.76613301
1151,1.765649706
1152,1.76468417
1153,1.763265207
1154,1.761424214
1155,1.759193838
1156,1.756607786
1157,1.75370045
1158,1.750505552
1159,1.747056395
1160,1.743385196
1161,1.73952201
1162,1.735494837
1163,1.731328979
1164,1.72704649
1165,1.722665414
1166,1.718200728
1167,1.713662714
1168,1.709058419
1169,1.704390287
1170,1.699657172
1171,1.69485414
1172,1.689973593
1173,1.685005233
1174,1.679936185
1175,1.674752519
1176,1.669439957
1177,1.663983211
1178,1.658368364
1179,1.652582154
1180,1.646612793
1181,1.640450165
1182,1.634087294
1183,1.627518222
1184,1.620739534
1185,1.613750026
1186,1.606550142
1187,1.599141926
1188,1.591528073
1189,1.583712488
1190,1.575699478
1191,1.567493051
1192,1.559096724
1193,1.550513461
1194,1.541746005
1195,1.532794714
1196,1.523660094
1197,1.514340594
1198,1.50483337
1199,1.495134577
1200,1.485239342
1201,1.475141898
1202,1.464835644
1203,1.454313278
1204,1.443567216
1205,1.432590947
1206,1.421376914
1207,1.409919545
1208,1.398214057
1209,1.386256605
1210,1.374046072
1211,1.36158289
1212,1.348870054
1213,1.335912824
1214,1.322719812
1215,1.309301794
1216,1.295672506
1217,1.281848684
1218,1.267849281
1219,1.25369513
1220,1.239409968
1221,1.225018531
1222,1.210546985
1223,1.196022615
1224,1.181472793
1225,1.16692549
1226,1.152408049
1227,1.137948081
1228,1.123571619
1229,1.109304458
1230,1.095171005
1231,1.081194729
1232,1.06739787
1233,1.053800806
1234,1.040423207
1235,1.027283505
1236,1.014398128
1237,1.001782462
1238,0.989451058
1239,0.977416441
1240,0.965689719
1241,0.954281144
1242,0.943198971
1243,0.932450272
1244,0.922040515
1245,0.911973901
1246,0.902253196
1247,0.892879389
1248,0.883852296
1249,0.875170343
1250,0.866830826
1251,0.858829796
1252,0.85116218
1253,0.843821891
1254,0.836802207
1255,0.830095448
1256,0.823693596
1257,0.817588113
1258,0.811769977
1259,0.806229755
1260,0.800958134
1261,0.795945913
1262,0.791183248
1263,0.78666088
1264,0.782369584
1265,0.778300323
1266,0.774444669
1267,0.770793803
1268,0.76734025
1269,0.764076672
1270,0.760996327
1271,0.758093111
1272,0.755361825
1273,0.752797507
1274,0.750396416
1275,0.74815505
1276,0.74607075
1277,0.744141266
1278,0.742364757
1279,0.740739614
1280,0.739264481
1281,0.737938248
1282,0.736759454
1283,0.735726848
1284,0.734839097
1285,0.734094352
1286,0.733490922
1287,0.733026728
1288,0.7326997
1289,0.732507348
1290,0.732447065
1291,0.732516088
1292,0.732711174
1293,0.733029149
1294,0.733466446
1295,0.7340189
1296,0.734682359
1297,0.735451758
1298,0.736322097
1299,0.737287506
1300,0.738341779
1301,0.739478059
1302,0.740689151
1303,0.741967075
1304,0.743303791
1305,0.744690366
1306,0.746118091
1307,0.747577481
1308,0.749059089
1309,0.750553489
1310,0.752051041
1311,0.753542244
1312,0.755017921
1313,0.756468974
1314,0.757886611
1315,0.759262607
1316,0.760588959
1317,0.761858091
1318,0.763063394
1319,0.764198281
1320,0.765257046
1321,0.766234592
1322,0.767126128
1323,0.767927796
1324,0.768636435
1325,0.769249409
1326,0.76976499
1327,0.770182043
1328,0.770500138
1329,0.770719871
1330,0.770842366
1331,0.77086959
1332,0.770804524
1333,0.770650499
1334,0.770411812
1335,0.770093203
1336,0.769700408
1337,0.76923947
1338,0.7687167
1339,0.768139154
1340,0.767514095
1341,0.766848661
1342,0.766150646
1343,0.765427567
1344,0.764686845
1345,0.76393608
1346,0.763182685
1347,0.76243338
1348,0.761695087
1349,0.760974392
1350,0.760277152
1351,0.759609282
1352,0.758975863
1353,0.758381896
1354,0.757831603
1355,0.757328928
1356,0.756877311
1357,0.756479502
1358,0.756137885
1359,0.755854368
1360,0.755630128
1361,0.755465806
1362,0.755361706
1363,0.755317315
1364,0.755331635
1365,0.7554029
1366,0.755529113
1367,0.755707167
1368,0.755933851
1369,0.756205045
1370,0.756516188
1371,0.756862193
1372,0.757237457
1373,0.757635914
1374,0.758050881
1375,0.758475676
1376,0.758903272
1377,0.759326369
1378,0.759737618
1379,0.760129683
1380,0.760495648
1381,0.760828815
1382,0.761122748
1383,0.761371978
1384,0.761571594
1385,0.761717699
1386,0.761807725
1387,0.761840038
1388,0.761814274
1389,0.761732094
1390,0.76159621
1391,0.761411086
1392,0.761182897
1393,0.760919072
1394,0.760628857
1395,0.760322794
1396,0.76001253
1397,0.759710744
1398,0.759431012
1399,0.759187408
1400,0.758994311
1401,0.758866243
1402,0.758816965
1403,0.758860394
1404,0.759009026
1405,0.759275176
1406,0.759669378
1407,0.760201246
1408,0.760879181
1409,0.761710219
1410,0.762700081
1411,0.763853617
1412,0.765174329
1413,0.766665339
1414,0.768328562
1415,0.770165645
1416,0.77217795
1417,0.774366297
1418,0.776731424
1419,0.779274017
1420,0.781994291
1421,0.784892425
1422,0.787968181
1423,0.791221
1424,0.794649854
1425,0.798252769
1426,0.802027553
1427,0.805970564
1428,0.810078293
1429,0.814345852
1430,0.818768173
1431,0.823339403
1432,0.828053974
1433,0.832905851
1434,0.837889805
1435,0.843000717
1436,0.848234788
1437,0.853589252
1438,0.859062515
1439,0.864654608
1440,0.870367184
1441,0.876203693
1442,0.882168643
1443,0.888268925
1444,0.894512072
1445,0.900907189
1446,0.907464437
1447,0.914194964
1448,0.921110108
1449,0.928222202
1450,0.935543068
1451,0.94308538
1452,0.950860597
1453,0.958880484
1454,0.967155747
1455,0.975696407
1456,0.984511301
1457,0.993608162
1458,1.002993643
1459,1.012672417
1460,1.022648342
1461,1.032923326
1462,1.043497913
1463,1.054371364
1464,1.065541625
1465,1.077005655
1466,1.088759057
1467,1.100797169
1468,1.113114253
1469,1.125703529
1470,1.13855736
1471,1.151666827
1472,1.165020667
1473,1.178605914
1474,1.19240576
1475,1.206400052
1476,1.22056441
1477,1.234870479
1478,1.249285549
1479,1.263773307
1480,1.278294712
1481,1.292809725
1482,1.307278052
1483,1.321661413
1484,1.335924536
1485,1.350036711
1486,1.363972664
1487,1.377712995
1488,1.391244486
1489,1.404559836
1490,1.417656377
1491,1.430536017
1492,1.443203285
1493,1.455664635
1494,1.467927381
1495,1.479998201
1496,1.491882429
1497,1.503583312
1498,1.515101269
1499,1.526434019
1500,1.537575573
1501,1.548517272
1502,1.559247121
1503,1.569751099
1504,1.580012336
1505,1.590011671
1506,1.599729866
1507,1.609145775
1508,1.618238002
1509,1.626984969
1510,1.635365784
1511,1.643359423
1512,1.650946066
1513,1.658106729
1514,1.664823607
1515,1.671080202
1516,1.676861301
1517,1.68215318
1518,1.686943606
1519,1.691222161
1520,1.694979504
1521,1.698208466
1522,1.700902641
1523,1.703058019
1524,1.704671502
1525,1.705741584
1526,1.706268653
1527,1.706253722
1528,1.705699772
1529,1.704611018
1530,1.702993155
1531,1.700852945
1532,1.698198721
1533,1.695040226
1534,1.691388771
1535,1.687256411
1536,1.682658076
1537,1.677608743
1538,1.672125757
1539,1.666227609
1540,1.659933865
1541,1.653265819
1542,1.646245703
1543,1.638896555
1544,1.631242618
1545,1.623308077
1546,1.615118146
1547,1.606697157
1548,1.598070145
1549,1.589261398
1550,1.58029452
1551,1.571192056
1552,1.561975673
1553,1.552665591
1554,1.543280557
1555,1.533837602
1556,1.524352565
1557,1.514838606
1558,1.505308315
1559,1.495771497
1560,1.486236021
1561,1.47670944
1562,1.467195839
1563,1.457698569
1564,1.448219299
1565,1.438758552
1566,1.429314405
1567,1.419884592
1568,1.410465062
1569,1.401050657
1570,1.391634986
1571,1.382210925
1572,1.372770488
1573,1.363303781
1574,1.353801638
1575,1.3442536
1576,1.334648699
1577,1.324975953
1578,1.315224066
1579,1.305381924
1580,1.29543899
1581,1.285384923
1582,1.275210172
1583,1.264906377
1584,1.254465789
1585,1.243882701
1586,1.233152449
1587,1.22227174
1588,1.211239785
