,Avg,
2014/9/30,57.7,14.27777778
2014/10/1,57.6,14.22222222
2014/10/2,67.8,19.88888889
2014/10/3,64.8,18.22222222
2014/10/4,45.2,7.333333333
2014/10/5,50.3,10.16666667
2014/10/6,53,11.66666667
2014/10/7,54.1,12.27777778
2014/10/8,56,13.33333333
2014/10/9,49.9,9.944444444
2014/10/10,53.2,11.77777778
2014/10/11,52,11.11111111
2014/10/12,55.2,12.88888889
2014/10/13,66.4,19.11111111
2014/10/14,64.8,18.22222222
2014/10/15,58.7,14.83333333
2014/10/16,56.3,13.5
2014/10/17,58.8,14.88888889
2014/10/18,50.1,10.05555556
2014/10/19,47.2,8.444444444
2014/10/20,51.4,10.77777778
2014/10/21,48.8,9.333333333
2014/10/22,47.3,8.5
2014/10/23,46.2,7.888888889
2014/10/24,50.1,10.05555556
2014/10/25,57.8,14.33333333
2014/10/26,52,11.11111111
2014/10/27,59.7,15.38888889
2014/10/28,63.9,17.72222222
2014/10/29,50.3,10.16666667
2014/10/30,46,7.777777778
2014/10/31,42.7,5.944444444
2014/11/1,38.8,3.777777778
2014/11/2,37,2.777777778
2014/11/3,46,7.777777778
2014/11/4,55.9,13.27777778
2014/11/5,50.1,10.05555556
2014/11/6,47.9,8.833333333
2014/11/7,39.8,4.333333333
2014/11/8,41.4,5.222222222
2014/11/9,45.5,7.5
2014/11/10,52.1,11.16666667
2014/11/11,55.7,13.16666667
2014/11/12,37.1,2.833333333
2014/11/13,30.1,-1.055555556
2014/11/14,27.7,-2.388888889
2014/11/15,28.7,-1.833333333
2014/11/16,33,0.555555556
2014/11/17,27.4,-2.555555556
2014/11/18,16.4,-8.666666667
2014/11/19,24.1,-4.388888889
2014/11/20,25.5,-3.611111111
2014/11/21,21.9,-5.611111111
2014/11/22,35.7,2.055555556
2014/11/23,53.1,11.72222222
2014/11/24,54.5,12.5
2014/11/25,35.9,2.166666667
2014/11/26,32.4,0.222222222
2014/11/27,31,-0.555555556
2014/11/28,27.8,-2.333333333
2014/11/29,42.4,5.777777778
2014/11/30,58.5,14.72222222
2014/12/1,42,5.555555556
2014/12/2,31.2,-0.444444444
2014/12/3,35.8,2.111111111
2014/12/4,31.6,-0.222222222
2014/12/5,39.5,4.166666667
2014/12/6,40.6,4.777777778
2014/12/7,33.9,1.055555556
2014/12/8,39.3,4.055555556
2014/12/9,38.8,3.777777778
2014/12/10,32.4,0.222222222
2014/12/11,28.7,-1.833333333
2014/12/12,30.6,-0.777777778
2014/12/13,36.6,2.555555556
2014/12/14,44,6.666666667
2014/12/15,45.2,7.333333333
2014/12/16,45.3,7.388888889
2014/12/17,31.5,-0.277777778
2014/12/18,27.5,-2.5
2014/12/19,29,-1.666666667
2014/12/20,29.8,-1.222222222
2014/12/21,30.9,-0.611111111
2014/12/22,37.1,2.833333333
2014/12/23,49.9,9.944444444
2014/12/24,53.1,11.72222222
2014/12/25,38,3.333333333
2014/12/26,38.4,3.555555556
2014/12/27,45.5,7.5
2014/12/28,37.6,3.111111111
2014/12/29,28.8,-1.777777778
2014/12/30,25.6,-3.555555556
2014/12/31,20.7,-6.277777778
2015/1/1,27,-2.777777778
2015/1/2,31,-0.555555556
2015/1/3,42.5,5.833333333
2015/1/4,46,7.777777778
2015/1/5,15.7,-9.055555556
2015/1/6,16.2,-8.777777778
2015/1/7,9.6,-12.44444444
2015/1/8,5.1,-14.94444444
2015/1/9,15.3,-9.277777778
2015/1/10,7.8,-13.44444444
2015/1/11,28.1,-2.166666667
2015/1/12,32.6,0.333333333
2015/1/13,19.9,-6.722222222
2015/1/14,16.6,-8.555555556
2015/1/15,25,-3.888888889
2015/1/16,29.3,-1.5
2015/1/17,36.1,2.277777778
2015/1/18,37.9,3.277777778
2015/1/19,34.8,1.555555556
2015/1/20,37.2,2.888888889
2015/1/21,36.9,2.722222222
2015/1/22,32.4,0.222222222
2015/1/23,31.2,-0.444444444
2015/1/24,31.4,-0.333333333
2015/1/25,33.8,1
2015/1/26,20.7,-6.277777778
2015/1/27,14.6,-9.666666667
2015/1/28,17.5,-8.055555556
2015/1/29,33,0.555555556
2015/1/30,25.4,-3.666666667
2015/1/31,23.7,-4.611111111
2015/2/1,33.4,0.777777778
2015/2/2,24.9,-3.944444444
2015/2/3,22.4,-5.333333333
2015/2/4,32.8,0.444444444
2015/2/5,16.4,-8.666666667
2015/2/6,20,-6.666666667
2015/2/7,38.1,3.388888889
2015/2/8,47.7,8.722222222
2015/2/9,29,-1.666666667
2015/2/10,23.7,-4.611111111
2015/2/11,30,-1.111111111
2015/2/12,23.4,-4.777777778
2015/2/13,15.1,-9.388888889
2015/2/14,22.4,-5.333333333
2015/2/15,3.2,-16
2015/2/16,6.1,-14.38888889
2015/2/17,9.5,-12.5
2015/2/18,14.2,-9.888888889
2015/2/19,2.9,-16.16666667
2015/2/20,4,-15.55555556
2015/2/21,23,-5
2015/2/22,22.6,-5.222222222
2015/2/23,8.3,-13.16666667
2015/2/24,8.4,-13.11111111
2015/2/25,24.8,-4
2015/2/26,16.3,-8.722222222
2015/2/27,10.7,-11.83333333
2015/2/28,15,-9.444444444
2015/3/1,28.2,-2.111111111
2015/3/2,24.4,-4.222222222
2015/3/3,33.6,0.888888889
2015/3/4,32.8,0.444444444
2015/3/5,18,-7.777777778
2015/3/6,14,-10
2015/3/7,29.3,-1.5
2015/3/8,37.3,2.944444444
2015/3/9,39.7,4.277777778
2015/3/10,43.4,6.333333333
2015/3/11,41.5,5.277777778
2015/3/12,36.9,2.722222222
2015/3/13,47.7,8.722222222
2015/3/14,49.5,9.722222222
2015/3/15,43.2,6.222222222
2015/3/16,55.2,12.88888889
2015/3/17,47.6,8.666666667
2015/3/18,36.8,2.666666667
2015/3/19,43.3,6.277777778
2015/3/20,41.5,5.277777778
2015/3/21,48.3,9.055555556
2015/3/22,37.7,3.166666667
2015/3/23,29.9,-1.166666667
2015/3/24,35.5,1.944444444
2015/3/25,52.2,11.22222222
2015/3/26,42.9,6.055555556
2015/3/27,30.2,-1
2015/3/28,24,-4.444444444
2015/3/29,35.2,1.777777778
2015/3/30,47.1,8.388888889
2015/3/31,48.6,9.222222222
2015/4/1,46.3,7.944444444
2015/4/2,55.2,12.88888889
2015/4/3,53.6,12
2015/4/4,41.1,5.055555556
2015/4/5,49.5,9.722222222
2015/4/6,52.4,11.33333333
2015/4/7,58.5,14.72222222
2015/4/8,59.2,15.11111111
2015/4/9,64,17.77777778
2015/4/10,58.7,14.83333333
2015/4/11,49.5,9.722222222
2015/4/12,55.3,12.94444444
2015/4/13,65.5,18.61111111
2015/4/14,56.8,13.77777778
2015/4/15,57.2,14
2015/4/16,57.5,14.16666667
