number,,,temp,,,hum,,,temp,
,,time,Max,Avg,Min,Max,Avg,Min,Avg,
86,,24,18,8.1,-12,88,67.4,53,-13.27777778,2013
87,,25,35,25.8,19,89,77.9,64,-3.444444444,2013
88,,26,38,29,20,78,69,57,-1.666666667,2013
89,,27,48,34.3,19,85,66,44,1.277777778,2013
90,,28,51,40.2,31,82,61.6,43,4.555555556,2013
91,,29,24,10.3,1,78,60.4,41,-12.05555556,2013
92,,30,18,10.8,0,84,71.2,49,-11.77777778,2013
93,,31,15,11.1,5,84,72.7,64,-11.61111111,2013
94,2014,1,12,8.8,6,80,73.3,67,-12.88888889,2014
95,,2,9,4.3,-3,72,64.6,53,-15.38888889,2014
96,,3,32,15.7,-6,79,66.3,58,-9.055555556,2014
97,,4,37,22.3,11,72,65.3,59,-5.388888889,2014
98,,5,9,1.5,-10,64,53.8,45,-16.94444444,2014
99,,6,-1,-7.4,-12,68,57.2,52,-21.88888889,2014
100,,7,18,6.8,-7,70,63.6,52,-14,2014
101,,8,15,11,8,73,62.1,51,-11.66666667,2014
102,,9,23,15.4,5,85,72.9,67,-9.222222222,2014
103,,10,34,30.9,23,96,92.1,88,-0.611111111,2014
104,,11,34,30,24,92,81.7,70,-1.111111111,2014
105,,12,49,39.9,26,88,65,48,4.388888889,2014
106,,13,47,36.9,32,79,66.7,45,2.722222222,2014
107,,14,42,30.1,18,79,62.1,47,-1.055555556,2014
108,,15,32,22.4,15,68,54.2,38,-5.333333333,2014
109,,16,40,23.1,10,92,69.9,45,-4.944444444,2014
110,,17,21,12.4,6,73,66,57,-10.88888889,2014
111,,18,38,28.1,15,82,71.9,53,-2.166666667,2014
112,,19,52,36,18,81,62.3,41,2.222222222,2014
113,,20,45,26.9,8,88,75,52,-2.833333333,2014
114,,21,15,5.9,-4,73,63.4,56,-14.5,2014
115,,22,20,11.9,-2,68,61,49,-11.16666667,2014
116,,23,8,1,-6,65,61.9,58,-17.22222222,2014
117,,24,43,28.7,7,76,54.2,44,-1.833333333,2014
118,,25,39,27.8,19,82,52.7,29,-2.333333333,2014
119,,26,48,32.2,4,70,53.6,44,0.111111111,2014
120,,27,8,2.4,-2,62,48.2,36,-16.44444444,2014
121,,28,18,6.7,-3,68,51.1,30,-14.05555556,2014
122,,29,40,22.8,3,66,44.7,24,-5.111111111,2014
123,,30,43,29.2,11,63,49.6,35,-1.555555556,2014
124,,31,19,14,9,64,52.6,41,-10,2014
125,2,1,25,17.5,12,84,75.4,68,-8.055555556,2014
126,,2,19,9.7,1,76,64.8,50,-12.38888889,2014
127,,3,30,17.2,4,76,62.4,47,-8.222222222,2014
128,,4,22,18.7,7,86,80.8,72,-7.388888889,2014
129,,5,8,4.8,-3,78,69.3,58,-15.11111111,2014
130,,6,9,0.8,-8,75,64.5,55,-17.33333333,2014
131,,7,17,7.4,-3,72,60.1,45,-13.66666667,2014
132,,8,23,16.5,11,85,75.6,63,-8.611111111,2014
133,,9,16,6.4,0,80,70.1,59,-14.22222222,2014
134,,10,8,-0.7,-10,79,66.4,53,-18.16666667,2014
135,,11,16,6.1,-7,80,63.3,49,-14.38888889,2014
136,,12,27,19.1,12,84,68.8,56,-7.166666667,2014
137,,13,45,29.8,20,81,66.2,52,-1.222222222,2014
138,,14,20,15.9,8,81,70.9,60,-8.944444444,2014
139,,15,33,18.4,6,85,75.8,58,-7.555555556,2014
140,,16,26,24.2,21,78,73,65,-4.333333333,2014
141,,17,46,30.2,25,92,76.6,46,-1,2014
142,,18,55,43.5,30,76,57.2,42,6.388888889,2014
143,,19,50,40,30,92,69.2,43,4.444444444,2014
144,,20,39,34.7,27,100,88.9,70,1.5,2014
145,,21,38,29,21,78,62.8,48,-1.666666667,2014
146,,22,34,27.9,23,84,58.3,40,-2.277777778,2014
147,,23,27,21.5,17,74,58.9,41,-5.833333333,2014
148,,24,25,19.6,14,85,73,44,-6.888888889,2014
149,,25,14,8.8,3,81,69.5,56,-12.88888889,2014
150,,26,28,12,-5,76,61.9,51,-11.11111111,2014
151,,27,14,5.7,-1,62,49.3,38,-14.61111111,2014
152,,28,43,22.6,5,81,64.7,40,-5.222222222,2014
153,3,1,21,5.8,0,78,70.8,62,-14.55555556,2014
154,,2,2,-2.1,-6,66,54,43,-18.94444444,2014
155,,3,19,7.4,-6,69,54.9,42,-13.66666667,2014
156,,4,33,22.5,11,67,54.3,43,-5.277777778,2014
157,,5,26,24.2,22,78,69.5,62,-4.333333333,2014
158,,6,38,29,21,85,73.7,62,-1.666666667,2014
159,,7,45,36.1,27,76,72.5,65,2.277777778,2014
160,,8,35,28.1,25,81,71.6,59,-2.166666667,2014
161,,9,57,41.8,22,85,59.9,42,5.444444444,2014
162,,10,68,53.5,41,71,55.2,36,11.94444444,2014
163,,11,46,42.2,37,76,69.5,58,5.666666667,2014
164,,12,36,33.4,30,75,60.5,44,0.777777778,2014
165,,13,64,45.7,27,81,53.8,31,7.611111111,2014
166,,14,55,47.9,38,68,48.5,31,8.833333333,2014
167,,15,50,37.9,30,88,65.4,37,3.277777778,2014
168,,16,33,27.9,22,82,60.7,40,-2.277777778,2014
169,,17,47,34.7,21,74,54.6,37,1.5,2014
170,,18,52,42.7,35,89,65.3,50,5.944444444,2014
171,,19,44,36.3,32,86,69.4,51,2.388888889,2014
172,,20,56,43.3,31,79,54.7,32,6.277777778,2014
173,,21,59,43.2,31,76,59.4,35,6.222222222,2014
174,,22,33,27.3,22,69,53.3,37,-2.611111111,2014
175,,23,33,26.3,18,65,46.7,32,-3.166666667,2014
176,,24,38,29.7,25,85,72.2,46,-1.277777778,2014
177,,25,34,27,22,72,48.7,31,-2.777777778,2014
178,,26,55,40.6,20,82,47,24,4.777777778,2014
179,,27,56,46.4,36,93,88.7,82,8,2014
180,,28,39,36.1,34,85,75.1,67,2.277777778,2014
181,,29,53,40.6,29,85,59.1,34,4.777777778,2014
182,,30,71,55.5,38,73,42.8,21,13.05555556,2014
183,,31,77,55.5,29,72,47.8,30,13.05555556,2014
184,4,1,46,36,23,63,49.6,39,2.222222222,2014
185,,2,50,43,34,75,60.2,44,6.111111111,2014
186,,3,46,42.9,37,93,90.7,82,6.055555556,2014
187,,4,42,35.8,31,93,76.3,53,2.111111111,2014
188,,5,57,43,27,85,54.2,26,6.111111111,2014
189,,6,59,51.3,43,71,57.4,40,10.72222222,2014
190,,7,63,53,40,77,56.8,35,11.66666667,2014
191,,8,58,48.3,39,76,51.8,23,9.055555556,2014
192,,9,76,56.8,32,73,38.7,16,13.77777778,2014
193,,10,67,59.9,51,53,31,15,15.5,2014
194,,11,77,60.9,39,57,30.1,13,16.05555556,2014
195,,12,85,70.6,58,83,47.9,32,21.44444444,2014
196,,13,61,47.3,35,93,87.7,81,8.5,2014
197,,14,39,34,30,89,68.2,41,1.111111111,2014
198,,15,47,36.7,26,75,51.4,33,2.611111111,2014
199,,16,63,50.9,39,79,50.1,28,10.5,2014
200,,17,55,43,35,76,59.2,35,6.111111111,2014
201,,18,65,51,34,82,52.5,28,10.55555556,2014
202,,19,77,64.1,49,54,41.6,29,17.83333333,2014
203,,20,83,71,57,65,48,34,21.66666667,2014
204,,21,74,65.4,54,80,56.3,21,18.55555556,2014
205,,22,67,56.8,44,60,38.7,26,13.77777778,2014
206,,23,54,50.5,47,77,59.3,43,10.27777778,2014
207,,24,57,52.6,47,93,79.5,57,11.44444444,2014
208,,25,79,62.2,43,89,49.2,21,16.77777778,2014
209,,26,75,64.8,54,57,46.4,37,18.22222222,2014
210,,27,66,56.9,47,93,77.2,56,13.83333333,2014
211,,28,67,60,53,93,81.5,64,15.55555556,2014
212,,29,53,45.5,39,90,86.4,71,7.5,2014
213,,30,45,42,38,89,82.7,76,5.555555556,2014
214,5,1,48,45.3,42,85,76.2,68,7.388888889,2014
215,,2,67,55.5,41,86,57,33,13.05555556,2014
216,,3,72,59.1,46,73,51.8,26,15.05555556,2014
217,,4,65,56.6,50,77,53.1,41,13.66666667,2014
218,,5,71,59.5,48,55,41.6,33,15.27777778,2014
219,,6,77,64.3,49,59,46.7,37,17.94444444,2014
220,,7,90,76,58,68,53.3,38,24.44444444,2014
221,,8,80,70.9,58,87,70.4,52,21.61111111,2014
222,,9,68,57.5,51,69,57,34,14.16666667,2014
223,,10,80,65.8,53,78,57.4,27,18.77777778,2014
