number,,,TEMP,,,HUM,,,TEMP
,,,Max,Avg,Min,,,,AVG
177,,25,34,27.7,24,93,67.2,37,-2.388888889
178,,26,40,28.3,16,77,47.9,25,-2.055555556
179,,27,52,40.8,32,74,58.7,40,4.888888889
180,,28,51,45.3,39,93,81,68,7.388888889
181,,29,37,35.2,33,100,90.7,79,1.777777778
182,,30,54,39,25,96,66.9,37,3.888888889
183,,31,66,51.7,36,76,48.8,28,10.94444444
184,,1,63,56.2,49,66,45.7,28,13.44444444
185,,2,54,48.1,42,94,85.9,69,8.944444444
186,,3,66,54.5,49,100,95.8,80,12.5
187,,4,55,46.9,37,100,90.4,67,8.277777778
188,,5,50,41.5,34,79,59,41,5.277777778
189,,6,56,45.9,36,73,53.9,37,7.722222222
190,,7,48,44.7,41,97,83.5,54,7.055555556
191,,8,55,46,36,100,84.5,64,7.777777778
192,,9,60,48.5,37,89,61.4,38,9.166666667
193,,10,73,59,45,93,52,33,15
194,,11,67,56.8,50,100,66.1,27,13.77777778
195,,12,77,62.2,45,66,50.5,34,16.77777778
196,,13,75,69,63,72,57.7,46,20.55555556
197,,14,71,49.2,30,100,91.4,49,9.555555556
198,,15,35,31.1,28,92,74.7,46,-0.5
199,,16,49,37.8,26,75,51.8,34,3.222222222
200,,17,64,50.8,34,67,45.7,28,10.44444444
201,,18,68,56.5,42,82,51.3,33,13.61111111
202,,19,67,54.8,41,76,52.8,31,12.66666667
203,,20,73,59.5,43,63,41.8,21,15.27777778
204,,21,73,61.3,50,90,57.8,37,16.27777778
205,,22,60,54.6,46,97,69.9,39,12.55555556
206,,23,58,47.5,34,75,50.3,33,8.611111111
207,,24,65,56.6,48,59,43.7,34,13.66666667
208,,25,66,55.3,51,100,76,33,12.94444444
209,,26,77,63,51,66,50.9,34,17.22222222
210,,27,72,60.3,47,66,49.8,38,15.72222222
211,,28,69,59,50,100,77.9,49,15
212,,29,72,57.8,50,100,80.8,34,14.33333333
213,,30,58,50.4,42,100,82.7,60,10.22222222
214,,1,52,46.5,40,86,69.7,53,8.055555556
215,,2,51,47.2,43,89,76.7,66,8.444444444
216,,3,65,54.9,44,82,54,27,12.72222222
217,,4,67,57.3,50,71,46.8,34,14.05555556
218,,5,69,56.6,47,56,48.2,36,13.66666667
219,,6,73,61,48,68,50.3,38,16.11111111
220,,7,82,70.3,57,75,55.7,40,21.27777778
221,,8,83,74.4,64,75,57.2,44,23.55555556
222,,9,75,68.7,61,84,68.5,53,20.38888889
223,,10,76,64.7,57,97,62.3,31,18.16666667
224,,11,81,66.8,57,97,77.3,51,19.33333333
225,,12,79,70.5,62,96,82.3,66,21.38888889
226,,13,79,67.9,55,100,86.6,62,19.94444444
227,,14,57,52.5,49,100,94.1,83,11.38888889
228,,15,50,46.5,43,100,90.1,63,8.055555556
229,,16,52,45.6,42,97,80.1,57,7.555555556
230,,17,54,46,41,93,72.9,48,7.777777778
231,,18,61,50.8,39,93,61.8,38,10.44444444
232,,19,68,58,46,77,53.5,39,14.44444444
233,,20,77,68.5,58,75,64.5,52,20.27777778
234,,21,84,68.7,63,100,83.4,58,20.38888889
235,,22,74,66.1,57,100,68.5,40,18.94444444
236,,23,72,63.5,53,86,58.2,37,17.5
237,,24,73,64.1,52,83,56.9,38,17.83333333
238,,25,77,68,58,80,59,40,20
239,,26,83,71.7,60,83,65.9,51,22.05555556
240,,27,84,75,66,93,68.8,46,23.88888889
241,,28,83,74,65,81,63.7,47,23.33333333
242,,29,80,72.2,65,90,77.1,60,22.33333333
243,,30,84,74,64,76,49,26,23.33333333
244,,31,83,74.1,63,67,46.4,29,23.38888889
245,,1,86,74,63,90,60.3,42,23.33333333
246,,2,77,71.4,64,100,85.5,66,21.88888889
247,,3,83,72.3,66,100,81.7,44,22.38888889
248,,4,76,67,61,100,91.1,73,19.44444444
249,,5,74,65.7,56,97,63.3,42,18.72222222
250,,6,77,68.9,59,75,53.9,38,20.5
251,,7,79,71,58,84,53.2,38,21.66666667
252,,8,74,66,60,100,84.2,55,18.88888889
253,,9,74,67.5,61,87,67.2,51,19.72222222
254,,10,70,66.4,62,96,88.4,78,19.11111111
