Day,Beta,temp
934,0.658536375,13.67
935,0.661372781,13.39
936,0.664330781,13.11
937,0.667407036,13.89
938,0.670598984,20.17
939,0.673903346,19.06
940,0.677316725,15.22
941,0.680835247,9.78
942,0.684455216,10.33
943,0.688172519,9.06
944,0.691982388,8.61
945,0.695880234,8.5
946,0.699861109,11.78
947,0.703920007,14.94
948,0.708051503,15.28
949,0.712249756,15.06
950,0.716508925,22.17
951,0.72082293,18.94
952,0.725185633,17.89
953,0.729590714,16.61
954,0.734031677,18.89
955,0.738502026,16.72
956,0.742995083,14.61
957,0.747504234,12
958,0.752022922,9.72
959,0.756544173,12.94
960,0.761061966,12.44
961,0.765569031,10.72
962,0.770059526,13.5
963,0.774526954,16.67
964,0.778964877,17.06
965,0.783367515,18.5
966,0.787729204,20.56
967,0.792043388,20.78
968,0.796305537,22.22
969,0.80050981,21.28
970,0.804651618,20.56
971,0.808725953,19.89
972,0.812727869,19.94
973,0.816654027,22.39
974,0.820499837,24.5
975,0.824261844,21.11
976,0.82793653,19.89
977,0.831521153,21.56
978,0.835012734,23.67
979,0.838409007,21.61
980,0.841707647,23.22
981,0.844907165,22.5
982,0.848006248,19.94
983,0.851003766,23.11
984,0.85389924,27.83
985,0.856691897,28.89
986,0.859382629,26.22
987,0.861971438,29.17
988,0.864459276,27.78
989,0.866847813,25.5
990,0.86913836,28.67
991,0.871333241,26.5
992,0.873435318,26.06
993,0.875447452,27.06
994,0.877373397,27.17
995,0.87921685,26.56
996,0.880982399,25.83
997,0.882675409,27.89
998,0.884300828,24.22
999,0.885865271,24.89
1000,0.887374818,29.06
1001,0.888836622,26.33
1002,0.890258372,26.61
1003,0.891648471,23.72
1004,0.893015265,21.78
1005,0.894368231,22.39
1006,0.895716965,21.11
1007,0.897071362,18.33
1008,0.898443222,19.11
1009,0.899843097,20.06
1010,0.901282966,27
1011,0.902775049,27
1012,0.90433228,23.83
1013,0.905967236,25.89
1014,0.907693624,25
1015,0.909525275,24.67
1016,0.911475599,28.39
1017,0.91355896,24.5
1018,0.915789306,24.83
1019,0.918180883,25.44
1020,0.920746982,20.94
1021,0.923501372,23.72
1022,0.926457524,24.94
1023,0.929628253,25.39
1024,0.933025479,22.61
1025,0.936660051,28.5
1026,0.940542698,30.89
1027,0.944682002,28.89
1028,0.949086189,29.56
1029,0.95376122,28.06
1030,0.958711863,26.56
1031,0.963940561,26.06
1032,0.969448209,25.61
1033,0.975233555,24
1034,0.981292963,20.56
1035,0.987620354,22.94
1036,0.994207263,25.06
1037,1.00104332,22.56
1038,1.008114576,23.17
1039,1.015405893,25.28
1040,1.022899032,28.78
1041,1.030573606,24.11
1042,1.038407445,23.33
1043,1.046376705,22.89
1044,1.054455757,23.44
1045,1.06261754,26.39
1046,1.070834637,27.33
1047,1.079078555,25.83
1048,1.087320566,24.28
1049,1.095532417,24.72
1050,1.103686213,24.89
1051,1.111755133,24.28
1052,1.11971283,24.94
1053,1.127535343,26.11
1054,1.135199428,27.78
1055,1.142685056,24.72
1056,1.149973035,20.39
1057,1.157047153,19.89
1058,1.163892984,21.83
1059,1.17049849,23.89
1060,1.176854372,24
1061,1.182953119,21.67
1062,1.188788652,19.67
1063,1.194358349,21.5
1064,1.199659467,25.06
1065,1.204692841,24.5
1066,1.209459066,24.28
1067,1.213960767,23.06
1068,1.218201637,21.11
1069,1.222185612,20.11
1070,1.225918293,20.5
1071,1.229404449,21.83
1072,1.232650995,26.06
1073,1.235663056,28.56
1074,1.238447428,25
1075,1.241010427,24.78
1076,1.243358254,22.44
1077,1.245496988,18.39
1078,1.24743259,18.89
1079,1.249171019,22.39
1080,1.250717878,19.72
1081,1.252078891,19.33
1082,1.253258705,21.28
1083,1.254262924,19.28
1084,1.255096316,20.06
1085,1.255763769,21.39
1086,1.256269932,23.89
1087,1.256619453,24.44
1088,1.256817222,28.11
1089,1.256867647,25.28
1090,1.256775141,25
1091,1.25654459,23.83
1092,1.256180763,19
1093,1.255688906,16.44
1094,1.255073309,17.28
1095,1.254339695,13.83
1096,1.253492713,17.06
1097,1.252538443,16.39
1098,1.251481771,17.22
1099,1.250328898,17.78
1100,1.249086261,16.61
1101,1.247759581,20.89
1102,1.246354818,18.17
1103,1.244879127,18.39
1104,1.243339181,10.94
1105,1.241740942,14.39
1106,1.240092158,14.06
1107,1.238400221,15.56
1108,1.236671448,18.5
1109,1.234913588,8.78
1110,1.233134031,7.72
1111,1.231340408,13.94
1112,1.229539752,19.56
1113,1.227739334,19
1114,1.225947499,23.83
1115,1.224170685,17.44
1116,1.222416997,15.5
1117,1.220693231,8.67
1118,1.219007015,8.61
1119,1.217365503,13.44
1120,1.215775013,15.39
1121,1.214243174,11.67
1122,1.212776184,12.94
1123,1.21138072,13.11
1124,1.210062981,11.61
1125,1.208828688,19.22
