Day,Beta,temp
879,0.99107933,0.44
880,0.983763516,0.56
881,0.976474285,3.67
882,0.969225764,12.72
883,0.962031543,6.67
884,0.954905033,4
885,0.94785881,-2.39
886,0.940905392,1.5
887,0.93405652,0.78
888,0.927323341,3.28
889,0.920716166,5.67
890,0.91424489,12.39
891,0.907918096,17.06
892,0.901744366,15.61
893,0.895730853,12.89
894,0.889883995,8.78
895,0.884209633,12.89
896,0.878712535,14.94
897,0.873396993,14.61
898,0.868265986,16.44
899,0.863322139,13.39
900,0.858567357,10.44
901,0.854002357,8.56
902,0.849627614,6.5
903,0.845442891,3.22
904,0.841447115,4.33
905,0.837638855,11.56
906,0.834016085,14.83
907,0.830576181,13.67
908,0.827316284,3.89
909,0.824232936,7.94
910,0.82132256,13.39
911,0.818580747,7.56
912,0.816003442,7.78
913,0.813585877,12.06
914,0.811323285,15.39
915,0.809210658,9.17
916,0.807242632,4.39
917,0.8054142,7.17
918,0.803719878,6.5
919,0.802154303,2.78
920,0.80071187,10.44
921,0.799387455,4.83
922,0.798174977,2.67
923,0.79706943,0.56
924,0.796065569,7.06
925,0.79515779,10.56
926,0.794341207,5.94
927,0.793610573,8.89
928,0.79296124,12.11
929,0.792388201,15.28
930,0.791887164,18.44
931,0.791453481,19.39
932,0.791083097,20.56
933,0.79077208,20.44
934,0.790516973,18.33
935,0.790313601,15.44
936,0.790159583,14.11
937,0.790051103,12.67
938,0.789985895,16.28
939,0.789961219,20.44
940,0.789974809,20.67
941,0.790024519,13.44
942,0.790108681,15.94
943,0.790225625,14.11
944,0.790373802,13.17
945,0.79055202,17.83
946,0.790759325,12.78
947,0.790994763,11.5
948,0.791257739,10.56
949,0.791547537,8.72
950,0.79186368,14.61
951,0.792205811,16.83
952,0.792573929,11.33
953,0.792967677,14.06
954,0.793387055,17.94
955,0.793831944,19.72
956,0.794302464,18.5
957,0.794798613,15
958,0.79532063,8.94
959,0.795868516,9
960,0.796442747,10.78
961,0.797043204,11.94
962,0.797670007,13.83
963,0.798323631,15.56
964,0.799004197,15.94
965,0.799711943,15.56
966,0.800446987,18.5
967,0.801209688,19.17
968,0.802000284,21.33
969,0.802819014,23.28
970,0.803666353,21.33
971,0.804542184,23.56
972,0.80544734,24.17
973,0.806381941,24.28
974,0.807346344,23.61
975,0.808341265,24.61
976,0.809366822,22.61
977,0.810423851,22.5
978,0.811512828,22.28
979,0.812634647,19.94
980,0.813789725,20.83
981,0.814979315,22.89
982,0.816203833,18.72
983,0.817464828,18.56
984,0.818762779,21.28
985,0.820099354,25.17
986,0.821475685,27.22
987,0.822893143,27.11
988,0.824353456,24.83
989,0.825858116,21.56
990,0.827408731,22.89
991,0.829007506,23.83
992,0.830656171,23.44
993,0.83235693,25
994,0.834112048,25.17
995,0.835923791,26.33
996,0.837794542,24.11
997,0.839726806,22.06
998,0.841723084,27.44
999,0.84378618,23.33
1000,0.845918536,25.61
1001,0.848122835,26.61
1002,0.850401819,26.11
1003,0.85275799,22.28
1004,0.855193973,19.72
1005,0.857711911,21.61
1006,0.860314369,22.39
1007,0.863003135,17.89
1008,0.865780294,18.06
1009,0.868647218,21
1010,0.871605277,23.22
1011,0.874655247,23.22
1012,0.877797663,23.33
1013,0.881032586,25
