Day,Beta,temp
474,1.057985544,1.56
475,1.054907084,5.72
476,1.05167079,2.83
477,1.048286676,2.39
478,1.044765472,3.39
479,1.041119337,2.5
480,1.037361503,1.28
481,1.03350544,0.33
482,1.029566169,3.78
483,1.025558591,2.72
484,1.021498203,-2
485,1.01740098,0.33
486,1.013283014,1.56
487,1.009160042,3.56
488,1.005048037,-1.33
489,1.000962138,1.06
490,0.996917069,-0.61
491,0.992927372,-8.78
492,0.989006341,-1.28
493,0.98516649,-4.11
494,0.981419563,-11.06
495,0.977776229,-0.56
496,0.974246144,7.11
497,0.970837593,7.17
498,0.967558146,-1.83
499,0.964413881,-0.56
500,0.961410165,-0.11
501,0.958550692,-8.17
502,0.955838919,-3.94
503,0.953276396,-5.11
504,0.950864434,-10.17
505,0.948602915,-8.67
506,0.946491361,-5.5
507,0.944528162,-12.72
508,0.942711115,-14.06
509,0.941037416,-7.61
510,0.93950367,-2.78
511,0.938105941,-7.5
512,0.93683964,-15.89
513,0.935700119,-7.5
514,0.934682012,-3.44
515,0.933779955,-6.5
516,0.932988167,-16.28
517,0.932300687,-7
518,0.931711197,-4.39
519,0.931213439,-4.44
520,0.930800915,1.22
521,0.930467188,-5.44
522,0.930205464,-10.94
523,0.930009067,-6.06
524,0.929871261,4.61
525,0.929785311,3.06
526,0.92974472,4.5
527,0.929742634,7.56
528,0.929772437,6.17
529,0.929827571,8.39
530,0.929901481,10.44
531,0.929988146,9.89
532,0.930080891,12.11
533,0.930174112,17.11
534,0.930261612,7.94
535,0.930337846,4.44
536,0.930397391,6.17
537,0.930435002,5.33
538,0.93044591,10.44
539,0.930425286,8
540,0.93036896,2.61
541,0.930272937,3.67
542,0.930133879,7.44
543,0.929948211,5
544,0.929713666,0.83
545,0.929427624,0.11
546,0.929088295,6.33
547,0.928694308,11.78
548,0.92824477,14.33
549,0.927739084,16.5
550,0.927177608,17.28
551,0.926560462,9.56
552,0.925888896,7.78
553,0.925164223,12.94
554,0.924388349,14.11
555,0.9235636,16.83
556,0.922692597,20.33
557,0.92177844,19.56
558,0.920824468,11.44
559,0.919834375,10.56
560,0.918812096,16.11
561,0.917761445,17.28
562,0.916687131,14.06
563,0.915593326,16.22
564,0.914484382,17.28
565,0.913364947,19.28
566,0.912239373,20.17
567,0.911111951,15.17
568,0.909986913,10.22
569,0.908868551,11.89
570,0.90776062,8.06
571,0.906666934,9.17
572,0.905590773,11.94
573,0.904535472,11
574,0.903503656,10.06
575,0.902498364,11
576,0.901521325,12.5
577,0.900574565,15.22
578,0.89966011,12.94
579,0.898778737,13.22
580,0.897931516,19.11
581,0.897119164,22.94
582,0.89634192,22.56
583,0.895599842,24.17
584,0.894892633,24.89
585,0.894219875,22.22
586,0.893580735,20.56
587,0.892974377,19.39
588,0.892399371,21.56
589,0.891854584,18.28
590,0.891338468,13.78
591,0.89084959,14.5
592,0.890385985,16.39
593,0.889945984,21.61
594,0.889527678,22.89
595,0.889129162,23.11
596,0.888748527,21.33
597,0.888383985,12.11
598,0.888033509,9.28
599,0.887695313,12.72
600,0.887367606,19.67
601,0.887048781,21.56
602,0.886736989,24.67
603,0.886430919,23.11
604,0.886129081,22.39
605,0.885830283,22.17
606,0.885533392,22.56
607,0.885237336,23.33
608,0.88494122,19.78
609,0.884644508,12.67
610,0.884346724,14.94
611,0.88404727,17.83
612,0.883746147,19.67
613,0.883443356,23.11
614,0.883139014,23
615,0.882833421,21.67
616,0.882527113,24.28
617,0.882220864,23.44
618,0.881915331,25.67
619,0.881611764,28.22
620,0.881311417,27.44
621,0.88101536,25.78
622,0.880725443,26.44
623,0.880443335,25.72
624,0.880170941,25
625,0.879910469,23.5
626,0.879664242,24.06
627,0.879434586,23
628,0.879224241,21.89
629,0.879036307,24.06
630,0.878873825,23.67
631,0.878740132,28.06
632,0.878638685,24.33
633,0.878573418,21.83
634,0.878548384,23.33
635,0.878567755,21.5
636,0.878636539,21.22
637,0.878759146,20
638,0.87894094,21
639,0.879187346,24.11
640,0.879504144,23.61
641,0.879897356,20.44
642,0.880373359,21.5
643,0.880938768,19.72
644,0.881600678,23.78
645,0.882366121,27.11
646,0.883242846,21.39
647,0.884238362,16.06
648,0.885360837,18.11
649,0.886618495,22.39
650,0.888019741,23.78
651,0.889572918,27.11
652,0.891286492,28.89
653,0.893169284,27.06
654,0.895229399,23.78
655,0.897475362,25.94
656,0.899915218,29.89
657,0.902556598,29.22
658,0.905406773,24.39
659,0.908472538,23.5
660,0.911759734,23.78
661,0.915273786,22.06
662,0.919018805,23.78
663,0.92299813,24.89
664,0.927213669,26.72
665,0.931666374,25.72
666,0.936355293,28
667,0.94127816,28.94
668,0.946431279,26.72
669,0.95180887,24.39
670,0.957403541,25.56
671,0.963206053,25.11
672,0.969205379,27.56
673,0.975388288,24.5
674,0.981740057,22.22
675,0.988244295,23.61
676,0.994882584,23.56
677,1.001635194,23.33
678,1.008480906,25.44
679,1.015397549,24.83
680,1.022361279,24.89
681,1.029348254,23.56
682,1.036333442,20.78
683,1.043291569,19.61
684,1.050197601,24.89
685,1.057026386,24.83
686,1.063753247,25.89
687,1.070354223,26.67
688,1.076806068,24.56
689,1.083087087,20.33
690,1.089176416,19.33
691,1.095054984,21.67
692,1.100705147,20.89
693,1.10611105,20.67
694,1.111258984,17.94
695,1.116136432,17.78
696,1.120733619,18.67
697,1.1250422,18.5
698,1.129055977,21.56
699,1.132770777,23.5
700,1.136183977,24.72
701,1.139294863,26.56
702,1.142104745,27.56
703,1.144615889,27.11
704,1.146832705,27.56
705,1.148760319,27.89
706,1.150405645,27.61
707,1.151776314,28.61
708,1.152881026,28.22
709,1.153729439,23.78
710,1.154331684,23.33
711,1.154698849,21.72
712,1.1548419,18.22
713,1.154772639,14.11
714,1.154502749,15.72
715,1.154044151,21.39
716,1.153409004,22.61
717,1.152608871,23.5
718,1.151655674,25.72
719,1.150560856,24.94
720,1.149335623,18.22
721,1.147991061,16.17
722,1.146537781,18.11
723,1.144985676,20.28
724,1.143344641,20.94
725,1.141623855,20.56
726,1.139832258,20.94
727,1.137978315,20.94
728,1.136069536,21.39
729,1.134113669,22.39
730,1.132117748,19.22
731,1.13008821,15.11
732,1.128031135,13.06
733,1.125952363,13
734,1.123857141,11.67
735,1.121750593,13.94
736,1.119637132,16.39
737,1.117521405,16.17
738,1.115407228,15.61
739,1.113298416,19.83
740,1.111198306,14.5
741,1.109110594,11.39
742,1.107038021,18.83
743,1.104983449,20.28
744,1.102949977,14.67
