number,,,temp,,,hum,,,temp
,,time,Max,Avg,Min,Max,Avg,Min,Avg
282,,8,82,73.3,65,93,78,49,22.94444444
283,,9,81,71.3,60,93,70.2,44,21.83333333
284,,10,82,70.6,57,93,66,41,21.44444444
285,,11,85,75.3,57,90,65.5,52,24.05555556
286,,12,89,83.4,77,84,70.7,61,28.55555556
287,,13,87,77.1,70,94,83.2,57,25.05555556
288,,14,84,71.3,62,100,82.3,47,21.83333333
289,,15,71,62.5,53,90,71.9,53,16.94444444
290,,16,76,64.7,52,93,70.6,41,18.16666667
291,,17,79,66.8,53,93,69.6,42,19.33333333
292,,18,80,69.4,58,90,68.5,45,20.77777778
293,,19,82,70,58,93,70,44,21.11111111
294,,20,82,68.4,57,93,75.1,47,20.22222222
295,,21,86,75.9,62,90,71,55,24.38888889
296,,22,88,80,70,84,71.3,59,26.66666667
297,,23,82,76,61,91,70.8,50,24.44444444
298,,24,80,67.9,57,89,65.8,39,19.94444444
299,,25,77,66.2,58,93,81.5,52,19
300,,26,87,77.7,70,97,86.2,72,25.38888889
301,,27,86,76.1,67,97,79.8,44,24.5
302,,28,74,67.1,55,93,71.6,49,19.5
303,,29,79,66.8,52,93,71.2,45,19.33333333
304,,30,82,70,58,93,71.7,45,21.11111111
305,,31,84,71.3,57,97,71.6,46,21.83333333
306,,1,82,68.2,59,96,81.9,51,20.11111111
307,,2,83,68.8,57,97,78.4,49,20.44444444
308,,3,86,71.1,60,96,76.3,48,21.72222222
