日期,26日平均气温
2015-02-13,-0.9325
2015-02-14,-0.77125
2015-02-15,-2.52875
2015-02-16,-4.57875
2015-02-17,-5.86125
2015-02-18,-6.845
2015-02-19,-8.8375
2015-02-20,-9.5725
2015-02-21,-9.00625
2015-02-22,-9.0875
2015-02-23,-9.17375
2015-02-24,-9.27375
2015-02-25,-8.58375
2015-02-26,-8.0525
2015-02-27,-7.5975
2015-02-28,-7.35375
2015-03-01,-7.55125
2015-03-02,-7.53625
2015-03-03,-5.94
2015-03-04,-5.015
2015-03-05,-5.68
2015-03-06,-6.19875
2015-03-07,-4.5125
2015-03-08,-2.87875
2015-03-09,-1.8225
2015-03-10,-0.47125
2015-03-11,0.37875
2015-03-12,1.66625
2015-03-13,3.995
2015-03-14,6.47125
2015-03-15,7.4875
2015-03-16,8.85125
2015-03-17,9.6775
2015-03-18,9.39875
2015-03-19,9.09125
2015-03-20,8.8925
2015-03-21,8.82625
2015-03-22,8.54625
2015-03-23,8.11375
2015-03-24,6.82625
2015-03-25,6.61125
2015-03-26,6.87125
2015-03-27,6.48125
2015-03-28,5.64875
2015-03-29,4.92375
2015-03-30,5.13875
2015-03-31,5.96125
2015-04-01,7.08625
2015-04-02,7.95
2015-04-03,8.64875
2015-04-04,9.2675
2015-04-05,10.5375
2015-04-06,11.61
2015-04-07,12.22375
2015-04-08,12.74
2015-04-09,13.54625
2015-04-10,13.16625
2015-04-11,13.02625
2015-04-12,13.8575
2015-04-13,14.6425
2015-04-14,14.80375
2015-04-15,14.6575
2015-04-16,14.48375
2015-04-17,14.22625
2015-04-18,14.79375
2015-04-19,15.48625
2015-04-20,15.3325
2015-04-21,14.6225
2015-04-22,14.13875
2015-04-23,13.50375
2015-04-24,12.805
2015-04-25,12.135
2015-04-26,11.1875
2015-04-27,10.4075
2015-04-28,10.2425
2015-04-29,10.51
2015-04-30,10.89375
2015-05-01,11.2625
2015-05-02,11.96125
2015-05-03,12.81125
2015-05-04,14.09
2015-05-05,15.34375
2015-05-06,16.5325
2015-05-07,17.64625
2015-05-08,18.76125
2015-05-09,19.76125
2015-05-10,20.26625
2015-05-11,20.3775
2015-05-12,19.65
2015-05-13,18.8175
2015-05-14,18.1375
2015-05-15,17.9125
